customer_id,signup_date,acquisition_channel,country,plan
C001,2026-01-03,organic,US,pro
C002,2026-01-05,paid_search,US,starter
C003,2026-01-08,referral,UK,pro
C004,2026-01-12,organic,CA,starter
C005,2026-01-14,paid_social,US,pro
C006,2026-01-18,referral,US,starter
C007,2026-01-21,paid_search,UK,pro
C008,2026-01-24,organic,US,starter
C009,2026-01-28,paid_social,CA,pro
C010,2026-02-02,referral,US,pro
C011,2026-02-05,organic,UK,starter
C012,2026-02-08,paid_search,US,pro
C013,2026-02-11,paid_social,US,starter
C014,2026-02-14,organic,CA,pro
C015,2026-02-17,referral,US,starter
C016,2026-02-20,paid_search,UK,pro
C017,2026-02-23,organic,US,starter
C018,2026-02-26,paid_social,US,pro
C019,2026-03-01,referral,CA,starter
C020,2026-03-03,organic,US,pro
