event_id,customer_id,event_date,event_type,channel
E001,C001,2026-01-03,signup,organic
E002,C002,2026-01-05,signup,paid_search
E003,C003,2026-01-08,signup,referral
E004,C004,2026-01-12,signup,organic
E005,C005,2026-01-14,signup,paid_social
E006,C006,2026-01-18,signup,referral
E007,C007,2026-01-21,signup,paid_search
E008,C008,2026-01-24,signup,organic
E009,C009,2026-01-28,signup,paid_social
E010,C010,2026-02-02,signup,referral
E011,C011,2026-02-05,signup,organic
E012,C012,2026-02-08,signup,paid_search
E013,C013,2026-02-11,signup,paid_social
E014,C014,2026-02-14,signup,organic
E015,C015,2026-02-17,signup,referral
E016,C016,2026-02-20,signup,paid_search
E017,C017,2026-02-23,signup,organic
E018,C018,2026-02-26,signup,paid_social
E019,C019,2026-03-01,signup,referral
E020,C020,2026-03-03,signup,organic
E021,C001,2026-01-04,activation,organic
E022,C003,2026-01-09,activation,referral
E023,C005,2026-01-16,activation,paid_social
E024,C007,2026-01-23,activation,paid_search
E025,C010,2026-02-06,activation,referral
E026,C012,2026-02-12,activation,paid_search
E027,C014,2026-02-18,activation,organic
E028,C016,2026-02-24,activation,paid_search
E029,C018,2026-02-28,activation,paid_social
E030,C020,2026-03-05,activation,organic
