order_id,customer_id,order_date,order_status,amount
O1001,C001,2026-01-04,completed,79.00
O1002,C002,2026-01-06,completed,29.00
O1003,C003,2026-01-09,completed,99.00
O1004,C005,2026-01-16,completed,129.00
O1005,C006,2026-01-20,completed,49.00
O1006,C007,2026-01-23,completed,99.00
O1007,C008,2026-01-26,cancelled,39.00
O1008,C009,2026-01-30,completed,119.00
O1009,C001,2026-02-03,completed,79.00
O1010,C010,2026-02-06,completed,89.00
O1011,C012,2026-02-12,completed,109.00
O1012,C013,2026-02-15,completed,39.00
O1013,C014,2026-02-18,completed,119.00
O1014,C015,2026-02-21,completed,49.00
O1015,C016,2026-02-24,completed,99.00
O1016,C018,2026-02-28,completed,129.00
O1017,C019,2026-03-03,completed,45.00
O1018,C020,2026-03-05,completed,89.00
O1019,C003,2026-03-08,completed,99.00
O1020,C005,2026-03-10,completed,129.00
O1021,C010,2026-03-11,refunded,89.00
O1022,C012,2026-03-12,completed,109.00
